idProduct	idSeller	idSellerProduct
1280602	41	46787
1263829	41	47574
2284888	41	48892
1267062	41	51870
619481	41	27309
1774888	41	47940
2657394	52	41640
1123935	41	46744
1106155	41	46827
936911	41	33687
746873	41	30967
3135188	53	10162
2809038	53	10161
3135187	53	10163
3141320	53	16045
2529740	53	16057
1676808	41	54993
1554390	41	53851
1459192	41	53482
1011886	41	51590
1161983	41	51215
1038561	41	31258
720048	41	30428
1044038	41	53682
1872556	41	47675
2657394	41	46938
2173133	41	51994
3066961	53	12399
3169173	53	12889
3173598	53	12690
1325298	53	10687
3031761	53	10679
3135190	53	10160
3139247	53	10164
2435261	53	14884
3169186	53	12888
3175027	53	12891
3175324	53	13300
2829155	53	14883
3212474	53	18207
3031756	53	16086
3449424	53	16181
3241337	53	16950
3731477	53	29195
3318299	53	23356
3733360	53	32125
4053729	53	32297
3897798	53	32308
3015691	53	3238
2336518	53	3247
3235704	53	22444
3301103	53	21343
3370464	53	25026
3382249	53	26350
3985539	53	31908
2812905	53	3194
2182582	53	3207
1131136	53	3209
3706465	53	29123
3710184	53	29153
972215	53	3210
2663263	53	3279
2622311	53	3281
2624622	53	3290
3472330	53	31769
1036981	53	3180
2182570	53	3280
4044316	53	33170
3463665	53	27269
3937695	53	31441
1971998	53	3208
1280486	53	3211
2654626	53	3213
3558883	53	28035
2511757	53	3248
4139945	53	33561
3018430	53	3186
3311271	53	22748
3235701	53	29121
2744274	53	3240
2971242	53	3250
2556819	53	3218
4128222	53	33581
3558882	53	33733
3949929	53	35217
2897431	53	3525
3985540	53	31907
2326949	53	3239
3864145	53	32288
2188871	53	3278
3771947	53	29831
3885138	53	31063
3821446	53	30048
4112075	53	33402
2051089	53	19317
2473467	53	3256
4021229	53	36590
2552681	53	3514
4053947	53	33761
3666499	53	34342
4212994	53	34808
3671853	53	28901
2699817	53	3380
4136756	53	33956
3444013	53	27706
3750394	53	31748
2654788	53	3176
1700264	53	3529
2373938	53	3205
4130647	53	33907
3311272	53	22737
1113853	53	3255
2422334	53	3530
3976900	53	35320
3743433	53	37313
3645837	53	33069
4112074	53	33403
3941459	53	34545
3743435	53	29331
3835212	53	30177
4112358	53	34919
4135947	53	33711
2289576	53	3185
3270574	53	3585
4139939	53	33562
4134107	53	33623
3778257	53	29584
3778945	53	29630
2528524	53	29834
3778225	53	29936
1760588	53	3513
2740826	53	3636
2429985	53	3638
4125963	53	33582
2813458	53	3634
4004935	53	36366
3600476	53	3242
2708505	53	3246
3865272	53	30728
3844240	53	31191
4136757	53	35799
2872401	53	4221
2817173	53	4227
2800780	53	4228
2800784	53	4229
3558886	53	39427
3133731	53	12905
2153392	53	3671
2570260	53	3668
3913559	53	31258
3844243	53	31259
2383581	53	3182
2820197	53	3189
3937650	53	37825
2363433	53	3206
694745	53	3673
3986524	53	33808
3617751	53	35218
2793767	53	3252
4099562	53	32887
3817603	53	37395
4067504	53	33233
2388358	53	3334
4094548	53	33763
3178195	53	13291
3599679	53	4168
2871821	53	4169
