idProduct	idSeller	idSellerProduct
2120759	41	51302
2382554	53	1255
2382580	53	1236
2370346	53	1253
1949713	53	1245
2382578	53	1290
2382556	53	1254
2723837	53	1303
1971877	53	1207
2246499	53	1238
2382553	53	1258
2382558	53	1259
1309502	53	1402
2382563	53	1257
2382562	53	1256
2374832	53	1278
1684460	53	1225
2674757	53	1176
1684442	53	1197
1684445	53	1206
2723833	53	1163
2764223	53	1077
1610498	53	1376
1113135	53	1384
1128444	53	1482
1034178	53	1403
2736097	53	1333
2382577	53	1388
2183461	53	1373
2723828	53	16007
1113144	53	1288
2382566	53	1276
2723819	53	1305
2382551	53	1279
2723850	53	1306
1113111	53	1392
2723818	53	1332
2382579	53	1391
897372	53	1429
977267	53	1448
2925069	53	2325
2215091	53	26093
2900430	53	2859
2922517	53	2861
2925666	53	2872
2723841	53	16009
2190127	53	22591
1613883	53	22595
2925070	53	2324
2751080	53	23685
1615197	53	22578
1132180	53	22592
987331	53	22594
2947539	53	21798
2925065	53	2868
621408	53	1410
793705	53	1457
2129036	53	1379
1617060	53	1386
1291314	53	1459
2723831	53	2876
2924248	53	21799
2801649	53	26024
1620856	53	22574
1615188	53	22587
615003	53	22600
2928722	53	2317
2925063	53	2870
2404483	53	2880
1956682	53	28888
1115205	53	1460
2764219	53	30445
254770	53	1409
2924198	53	21800
2765366	53	2243
1615192	53	22581
1221727	53	22599
2889334	53	2860
165861	53	1424
2864568	53	21797
1615193	53	22580
2922518	53	2853
2900274	53	2862
2900431	53	2875
1613882	53	22596
1550786	53	22597
2925068	53	2328
2900965	53	35726
2723820	53	2864
793708	53	1494
2723830	53	32524
2680091	53	38648
2877442	53	38737
2898987	53	36793
165859	53	1433
742429	53	1452
770433	53	1493
2166937	53	1389
2382565	53	1275
1550783	53	1401
894499	53	1406
106994	53	1490
1615200	53	22576
1615191	53	22582
1550787	53	22585
1113107	53	22593
769863	53	1489
2942746	53	21801
1620871	53	22575
1615195	53	22577
1615189	53	22586
2877423	53	38652
2680099	53	38654
1552831	53	22598
2801624	53	26025
2925061	53	2327
715045	53	1435
560099	53	1446
488586	53	36252
2382569	53	1223
1959086	53	1234
2193542	53	38688
761856	53	38723
2877426	53	38752
1658866	53	40349
2851176	53	40340
2193570	53	38710
2877419	53	38735
1489474	53	38742
1489453	53	38706
2881326	53	38709
2923040	53	38690
2380164	53	38733
2881324	53	38738
2877418	53	38743
2876719	53	38793
2877431	53	38695
2877450	53	38705
2877440	53	38736
2877422	53	38739
2788308	53	504
2382560	53	5317
2790274	53	541
2193546	53	38686
2193541	53	38691
2246506	53	542
2215093	53	5474
2649441	53	5305
2570214	53	5316
2510097	53	5337
975551	53	5244
2751083	53	5245
2948080	53	5249
2788305	53	532
2615659	53	5723
2879566	53	38707
1829322	53	38696
1489473	53	38741
2928975	53	38791
2325802	53	38712
2193521	53	38725
2877443	53	38740
2193523	53	38689
1132503	53	1404
953077	53	5890
2120770	53	5738
2920781	53	5804
2120757	53	5813
2353242	53	5310
2611241	53	5726
2120777	53	5727
2565250	53	5729
2120776	53	5730
2120759	53	5733
2615652	53	5809
1267268	53	5901
2581005	53	5735
2947360	53	5743
2941850	53	5799
2120755	53	5812
2586785	53	5477
1820	53	1407
560095	53	1444
1116173	53	1456
118340	53	1488
2890082	53	6054
2921672	53	6056
592046	53	1491
2216194	53	4802
2113378	53	5736
2121759	53	5737
2120772	53	5739
2615650	53	5715
2615648	53	5716
2120779	53	5740
1394274	53	5744
2121764	53	5742
2120726	53	5810
2120725	53	5811
2666071	53	6221
2666070	53	6222
2103640	53	5017
2856496	53	5894
2654828	53	6612
2233059	53	6613
1495729	53	6623
2788311	53	502
2202068	53	5019
2922553	53	5473
2215094	53	5475
2120754	53	5724
2098399	53	6692
2120752	53	5731
545987	53	6970
2264263	53	7047
2166790	53	683
2656145	53	6604
2664856	53	6609
2617742	53	6610
2233060	53	6611
173172	53	6620
2674746	53	693
2120753	53	5722
2947359	53	5741
2894469	53	5015
2120769	53	5880
2830388	53	5883
2114313	53	5893
1545728	53	7046
1112991	53	5910
2922460	53	6106
2922467	53	6104
2941852	53	5795
953078	53	5884
2121762	53	5892
2120758	53	5814
2885348	53	5889
662301	53	5899
2014784	53	5905
2613885	53	5906
2922466	53	6105
2259380	53	6218
953076	53	5895
2640252	53	6605
2233062	53	6614
2922429	53	7360
2922471	53	7363
2922461	53	7374
2922483	53	7375
713041	53	6619
2579997	53	7938
2570050	53	6691
1301174	53	5747
2941851	53	5794
2922470	53	7362
2922477	53	7367
2922498	53	7379
2658373	53	5306
2657037	53	5321
800144	53	5725
2556150	53	5734
2920764	53	7380
2538122	53	5749
2922441	53	7383
2941849	53	7392
713045	53	6617
2615409	53	682
1302615	53	5745
1267286	53	5746
2742857	53	6219
2666073	53	6223
2553981	53	6225
2922428	53	7369
2920771	53	7364
2922456	53	7365
2920772	53	7372
2264270	53	7045
2723847	53	7824
2920762	53	7382
2925071	53	2316
2920777	53	7387
2925064	53	2869
2925062	53	2871
1002297	53	28889
2920767	53	7371
2920766	53	7378
2259037	53	5016
1297410	53	5018
1267302	53	5748
2851175	53	40341
2372428	53	5246
2230257	53	5311
2215095	53	5476
2243724	53	558
2120775	53	5728
2565124	53	5732
2121761	53	5887
2856493	53	5897
662297	53	5903
2890084	53	6052
2890080	53	6057
2801678	53	26021
2120768	53	5888
662300	53	5900
1946223	53	684
2762102	53	6946
545986	53	6971
2121765	53	5902
